titre|duree|note|prix|date_sortie|genres|synopsis|acteurs
Cro Man|90|7.5|10.33|2018-10-10|comique|Préhistoire, quand les dinosaures et les ma...|Pierre Niney;Kaycie Chase;Eddie Redmayne
Le Labyrinthe : le remède mortel|142|8.5|5|2018-5-5|aventure|Dans ce dernier volet de l’épopée LE LABYRINTHE,|Dylan O'Brien;Kaya Scodelario;Thomas Brodie-Sangster
Juesqu'à la Garde|93|5.5|2.3|2018-6-6|thriller|Le couple Besson divorce.|Denis Ménochet;Léa Drucker;Mathilde Auneveux
Rita et le Crocodile|40|6|3|2018-5-5|animation|Rita, petite fille de 4ans au caratère...|Inconnus
Agatha, ma voisine détective|77|3|6|2018-5-5|animation|Agatha, dix ans...|Maïa Dory;Esteban Oertli;Valérie Muzzi
Les Dalton|86|1|6|2004-5-5|comique|Les Dalton dévalisent une banque...|Eric Judor;Ramzy Bedia
Vercingétorix : la légende du druide roi|142|3|9|2001-5-5|aventure|Au cours du premier siècle avant JC...|Christophe Lambert;Klaus Maria Brandauer
Les dents de la mer 4|95|5|4|2003-5-5|thriller|Ellen, la femme du chef Brody...|Lorraine Gary;Lance Gues
Gran Torino|111|9|15|2009-5-5|thriller|Walt Kowalski est un ancien de la guerre de...|Clint Eastwood;Bee Vang
Le Voyaga de Chihiro|125|8|12|2002-5-5|animation|Chihiro, une fillette capricieuse...|Rumi Hiiragi;Miyu Irino